"번호","개방서비스명","개방서비스아이디","개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태구분코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","소재지전화","소재지면적","소재지우편번호","소재지전체주소","도로명전체주소","도로명우편번호","사업장명","최종수정시점","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보(x)","좌표정보(y)","문화체육업종명","문화사업자구분명","총층수","주변환경명","제작취급품목내용","시설면적","지상층수","지하층수","건물용도명","통로너비","조명시설조도","노래방실수","청소년실수","비상계단여부","비상구여부","자동환기여부","청소년실여부","특수조명여부","방음시설여부","비디오재생기명","조명시설유무","음향시설여부","편의시설여부","소방시설여부","총게임기수","기존게임업외업종명","제공게임물명","공연장형태구분명","품목명","최초등록시점","지역구분명",
"265","영화상영업","03_13_03_P","3000000","CDFF5211042010000001","20100409","","01","영업/정상","13","영업중","","","","","733-0802","","","서울특별시 종로구 내수동 74번지 광화문시대 1502호","서울특별시 종로구 사직로8길 42,  1502호 (내수동,광화문시대)","","(사)한국다양성영화발전협의회","20100428151438","I","2018-08-31 23:59:59.0","","197559.791065754","452388.315239125","영화상영업","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20100409","",
"266","영화상영업","03_13_03_P","3000000","CDFF5211042016000003","20160205","","01","영업/정상","13","영업중","","","","","02)730-5604","","","서울특별시 종로구 신문로2가 1-181번지 복합문화공간 에무 2층","서울특별시 종로구 경희궁1가길 7, 복합문화공간 에무 2층 (신문로2가)","03176","에무 시네마 앤 카페","20180103080314","I","2018-08-31 23:59:59.0","","197193.771272123","452199.428810287","영화상영업","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20160205","",
"267","영화상영업","03_13_03_P","3000000","CDFF5211042016000004","20160909","","01","영업/정상","13","영업중","","","","","02-3672-4233","","","서울특별시 종로구 낙원동 238번지","서울특별시 종로구 삼일대로 428, 4층 (낙원동, 낙원상가)","03140","(주)낭만극장","20160909112400","I","2018-08-31 23:59:59.0","","198909.560005051","452239.661365459","영화상영업","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20160909","",
"268","영화상영업","03_13_03_P","3000000","CDFF5211042016000005","20141028","","01","영업/정상","13","영업중","","","","","","","","서울특별시 종로구 통의동 37번지","서울특별시 종로구 자하문로2길 17-2, 3층 (통의동)","03044","(주)비트윈에프앤아이","20161221095303","I","2018-08-31 23:59:59.0","","197611.136753081","452693.651254545","영화상영업","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20141028","",
"269","영화상영업","03_13_03_P","3180000","CDFF5211042005000003","20051010","","01","영업/정상","13","영업중","","","","","2679-5300","","","서울특별시 영등포구 문래동3가 82-29번지 문래동우리벤처타운2 5-506, 507호","서울특별시 영등포구 선유로 70  (문래동3가,문래동우리벤처타운2 5-506, 507호)","","㈜유진텍코퍼레이션","20100430135203","I","2018-08-31 23:59:59.0","","190217.705071932","446449.917568696","영화상영업","","0","","","0","0","0","","0","0","0","0","","","","","","","","","","","","0","","","","","20051010","",
"270","영화상영업","03_13_03_P","3180000","CDFF5211042009000002","20090615","","01","영업/정상","13","영업중","","","","","02-784-0108","","","서울특별시 영등포구 여의도동 35번지 백상빌딩 614호","서울특별시 영등포구 국제금융로6길 26  (여의도동,백상빌딩 614호)","","스타필름","20100430135203","I","2018-08-31 23:59:59.0","","193474.240829093","446636.663614573","영화상영업","","0","","","0","0","0","","0","0","0","0","","","","","","","","","","","","0","","","","","20090615","",
"271","영화상영업","03_13_03_P","3180000","CDFF5211042011000001","20110420","","01","영업/정상","13","영업중","","","","","","","","서울특별시 영등포구 여의도동 44-24","서울특별시 영등포구 여의대방로65길 20, 701호 (여의도동, 호성빌딩신관)","07333","주식회사 에이치에스이디","20220218102454","U","2022-02-20 02:40:00.0","","193694.665015597","446449.546192539","영화상영업","","0","","","0","0","0","","0","0","0","0","","","","","","","","","","","","0","","","","","20110420","",
"272","영화상영업","03_13_03_P","3180000","CDFF5211042013000001","20130312","","01","영업/정상","13","영업중","","","","","782-0087","","","서울특별시 영등포구 여의도동 28-3번지 여의도파크센터 A동 1902호","서울특별시 영등포구 여의대로 8, A동 1902호 (여의도동)","150881","주식회사 매드폭스","20130312133707","I","2018-08-31 23:59:59.0","","192739.314354154","446552.469845648","영화상영업","","0","","","0","0","0","","0","0","0","0","","","","","","","","","","","","0","","","","","20130312","",
"273","영화상영업","03_13_03_P","3180000","CDFF5211042014000003","20141015","","01","영업/정상","13","영업중","","","","","3443-2574","","","서울특별시 영등포구 여의도동 45-18번지","서울특별시 영등포구 국제금융로8길 27-3, 703호 (여의도동, 여의도빌딩)","150891","(주) 에이든컴퍼니","20141015104125","I","2018-08-31 23:59:59.0","","193617.653140632","446421.26472279","영화상영업","","0","","","0","0","0","","0","0","0","0","","","","","","","","","","","","0","","","","","20141015","",
"274","영화상영업","03_13_03_P","3180000","CDFF5211042018000002","20180706","","01","영업/정상","13","영업중","","","","","02-2284-3911","","","서울특별시 영등포구 문래동5가 10번지 하우스디 비즈 612호","서울특별시 영등포구 선유로3길 10, 하우스디 비즈 6층 610,611,612호 (문래동5가)","07285","주식회사 티브이씨씨","20190910204412","U","2019-09-12 02:40:00.0","","189921.671894763","445990.538307199","영화상영업","","0","","","0","0","0","","0","0","0","0","","","","","","","","","","","","0","","","","","20180706","",
"275","영화상영업","03_13_03_P","3000000","CDFF5211042010000002","20090728","","01","영업/정상","13","영업중","","","","","070-8145-3128","","","서울특별시 종로구 신문로1가 226 흥국생명빌딩","서울특별시 종로구 새문안로 68, 8층 (신문로1가, 흥국생명빌딩)","110786","(주)티캐스트","20220613125603","U","2022-06-16 02:40:00.0","","197482.205329945","451938.30792481","영화상영업","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20090728","",
"276","영화상영업","03_13_03_P","3000000","CDFF5211042010000003","20071009","","01","영업/정상","13","영업중","","","","","","","","서울특별시 종로구 구기동 30-3","서울특별시 종로구 진흥로22가길 17-1, 1층 (구기동)","03013","가나미디어","20211007125133","U","2021-10-09 02:40:00.0","","196305.208166437","455967.757259819","영화상영업","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20071009","",
"277","영화상영업","03_13_03_P","3000000","CDFF5211042011000001","20110316","","01","영업/정상","13","영업중","","","","","3210-3358","","","서울특별시 종로구 신문로2가 1-153번지 가든플레이스","서울특별시 종로구 경희궁1길 1 (신문로2가, 가든플레이스)","110062","미로스페이스","20111030161644","I","2018-08-31 23:59:59.0","","197428.923002637","452041.177877529","영화상영업","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20110316","",
"278","영화상영업","03_13_03_P","3000000","CDFF5211042013000001","20130627","","01","영업/정상","13","영업중","","","","","070-8145-3200","","","서울특별시 종로구 신문로1가 226번지 흥국생명빌딩 8층","서울특별시 종로구 새문안로 68, 8층 (신문로1가)","110786","(주)티캐스트콘텐츠허브","20150430165701","I","2018-08-31 23:59:59.0","","197482.205329945","451938.30792481","영화상영업","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20130627","",
"279","영화상영업","03_13_03_P","3000000","CDFF5211042015000002","20150716","","01","영업/정상","13","영업중","","","","","02-743-4667","","","서울특별시 종로구 혜화동 163-24번지","서울특별시 종로구 대학로14길 29 (혜화동)","110530","동양예술극장","20150716181353","I","2018-08-31 23:59:59.0","","200136.734882861","453589.791391142","영화상영업","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20150716","",
"280","영화상영업","03_13_03_P","3000000","CDFF5211041999000003","19990702","","01","영업/정상","13","영업중","","","","","","","110320","서울특별시 종로구 낙원동 284-6번지","서울특별시 종로구 삼일대로 428  (낙원동)","","(주)동아서울시네마","20100428111428","I","2018-08-31 23:59:59.0","","198852.959716775","452253.942584507","영화상영업","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19990702","",
"281","영화상영업","03_13_03_P","3000000","CDFF5211042003000001","20030714","","01","영업/정상","13","영업중","","","","","3676-8400","","110524","서울특별시 종로구 명륜4가 113-1번지","서울특별시 종로구 대학로11길 23  (명륜4가)","","(주)씨네유","20100428113315","I","2018-08-31 23:59:59.0","","199972.881431778","453308.674806807","영화상영업","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20030714","",
"282","영화상영업","03_13_03_P","3000000","CDFF5211042004000001","20040614","","01","영업/정상","13","영업중","","","","","2001-8800","","110040","서울특별시 종로구 통의동 35-23번지","서울특별시 종로구 효자로 19  (통의동)","","(주)시네마서비스","20100428113618","I","2018-08-31 23:59:59.0","","197612.137033978","452831.555366395","영화상영업","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20040614","",
"283","영화상영업","03_13_03_P","3000000","CDFF5211042006000001","20061101","","01","영업/정상","13","영업중","","","","","02-3672-0181","","","서울특별시 종로구 계동 102-1번지 연화빌딩 4층","서울특별시 종로구 북촌로4길 20 (계동, 연화빌딩 4층)","110801","(주)영화사 진진","20120727130912","I","2018-08-31 23:59:59.0","","198725.980517437","452994.523270389","영화상영업","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20061101","",
"284","영화상영업","03_13_03_P","3000000","CDFF5211042006000002","20061106","","01","영업/정상","13","영업중","","","","","747-6400","","110856","서울특별시 종로구 묘동 56번지 단성사","서울특별시 종로구 돈화문로 26  (묘동,단성사)","","(주)단성시네마","20100428114252","I","2018-08-31 23:59:59.0","","199269.115470782","452076.225584316","영화상영업","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20061106","",
"285","영화상영업","03_13_03_P","3140000","CDFF5211042001000001","20010307","","01","영업/정상","13","영업중","","","","","2602-4453","","158857","서울특별시 양천구 신정동 912-5번지","서울특별시 양천구 신정중앙로 46-1  (신정동)","","인창기업","20100513105444","I","2018-08-31 23:59:59.0","","187267.110222169","447215.964997622","영화상영업","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20010307","",
"286","영화상영업","03_13_03_P","3140000","CDFF5211042002000001","20020328","","01","영업/정상","13","영업중","","","","","2697-6545","","158843","서울특별시 양천구 신월동 607-1번지 동방 아) 101동 301호","서울특별시 양천구 신월로 220, 101동 301호 (신월동,동방 아))","","화랑극장","20100513110135","I","2018-08-31 23:59:59.0","","186357.984760281","446590.916612838","영화상영업","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20020328","",
"287","영화상영업","03_13_03_P","3140000","CDFF5211042003000001","20031028","","01","영업/정상","13","영업중","","","","","2653-2235","","","서울특별시 양천구 신정동 324-10번지 동문굿모닝탑1 1003호","서울특별시 양천구 목동동로 53, 1003호 (신정동, 동문굿모닝탑1)","158077","시네마그래픽","20130325174630","I","2018-08-31 23:59:59.0","","187619.993071747","445879.054862903","영화상영업","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20031028","",
"288","영화상영업","03_13_03_P","3140000","CDFF5211042015000001","20150817","","01","영업/정상","13","영업중","","","","","26507000","","","서울특별시 양천구 목동 917-1","서울특별시 양천구 목동서로 159-1 (목동)","07997","(재)CBS","20210722090610","U","2021-07-24 02:40:00.0","","188871.512837973","447348.13213342","영화상영업","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20150817","",
"289","영화상영업","03_13_03_P","3140000","CDFF5211042015000002","20151103","","01","영업/정상","13","영업중","","","","","070-4488-5862","","","서울특별시 양천구 목동 406-14","서울특별시 양천구 오목로 311, 6층,1층,지하1층 (목동)","08000","초이크리에이티브랩","20211005160254","U","2021-10-07 02:40:00.0","","188620.55549233","447006.657413773","영화상영업","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20151103","",
"290","영화상영업","03_13_03_P","3230000","CDFF5211041999000001","19990713","","01","영업/정상","13","영업중","","","","","4194838","","138222","서울특별시 송파구 잠실동 40-1번지","서울특별시 송파구 올림픽로 240  (잠실동)","","(주)시네마강남","20100507091416","I","2018-08-31 23:59:59.0","","208589.363343145","445455.90405262","영화상영업","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19990713","",
"291","영화상영업","03_13_03_P","3230000","CDFF5211042001000001","20010707","","01","영업/정상","13","영업중","","","","","4170770","","138171","서울특별시 송파구 송파동 15번지 금남빌딩 4층","서울특별시 송파구 송파대로 468  (송파동,금남빌딩 4층)","","(주)요기배","20100507091843","I","2018-08-31 23:59:59.0","","209213.596479932","445106.870506248","영화상영업","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20010707","",
"292","영화상영업","03_13_03_P","3230000","CDFF5211042003000001","20031017","","01","영업/정상","13","영업중","","","","","34310566","","","서울특별시 송파구 잠실동 1168-1번지","","","잠실자동차극장","20101215093221","I","2018-08-31 23:59:59.0","","206016.910694476","446061.929661025","영화상영업","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20031017","",
"293","영화상영업","03_13_03_P","3230000","CDFF5211042005000001","20050317","","01","영업/정상","13","영업중","","","","","4133946","","","서울특별시 송파구 삼전동 182-13번지","서울특별시 송파구 삼학사로 33 (삼전동)","138841","(주)미디어라인코리아","20111030145959","I","2018-08-31 23:59:59.0","","208465.060418242","444232.815960318","영화상영업","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20050317","",
"294","영화상영업","03_13_03_P","3230000","CDFF5211042016000002","20161201","","01","영업/정상","13","영업중","","","","","","","","서울특별시 송파구 문정동 618번지 204동 비162호","서울특별시 송파구 송파대로 111, 204동 비162호 (문정동, 파크하비오)","05837","주식회사 송파엠비","20190611210250","U","2019-06-13 02:40:00.0","","210868.397496689","442053.227933005","영화상영업","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20161201","",
"295","영화상영업","03_13_03_P","3230000","CDFF5211042017000002","20111118","","01","영업/정상","13","영업중","","","","","02-3445-1750","","","서울특별시 송파구 가락동 123-14 리노타운","서울특별시 송파구 송이로 145 (가락동, 리노타운)","05828","주식회사 리노커뮤니케이션즈","20210908141822","U","2021-09-10 02:40:00.0","","210932.067547437","443547.267142419","영화상영업","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20111118","",
"296","영화상영업","03_13_03_P","3230000","CDFF5211042018000001","19991005","","01","영업/정상","13","영업중","","","","","02-3470-3400","","","서울특별시 송파구 신천동 29 롯데월드타워앤드롯데월드몰","서울특별시 송파구 올림픽로 300, 롯데월드타워앤드롯데월드몰 27층 (신천동)","05551","롯데컬처웍스 주식회사","20211209163636","U","2021-12-11 02:40:00.0","","209074.900840074","445657.80932984","영화상영업","","0","","","0","0","0","","0","0","0","0","","","","","","","","","","","","0","","","","","19991005","",
"297","영화상영업","03_13_03_P","3230000","CDFF5211042018000002","20180725","","01","영업/정상","13","영업중","","","","","","","","서울특별시 송파구 잠실동 10번지 서울종합운동장","서울특별시 송파구 올림픽로 25 (잠실동)","05500","주식회사 영화관운영","20180725213618","I","2018-08-31 23:59:59.0","","206383.829438022","446030.128073052","영화상영업","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20180725","",
"298","영화상영업","03_13_03_P","3070000","CDFF5211042000000001","20000720","","01","영업/정상","13","영업중","","","","","929-6288","","136034","서울특별시 성북구 동소문동4가 278-2번지 백호빌딩 4층","서울특별시 성북구 동소문로13길 39-2 (동소문동4가)","136034","(주)가원인터내셔널","20130118173732","I","2018-08-31 23:59:59.0","","200955.86180712","454578.881989911","영화상영업","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20000720","",
"299","영화상영업","03_13_03_P","3070000","CDFF5211042001000001","20010331","","01","영업/정상","13","영업중","","","","","922-0702","","136054","서울특별시 성북구 동선동4가 209번지 B1","서울특별시 성북구 동소문로23길 28 (동선동4가)","136054","아트미영상","20130118173840","I","2018-08-31 23:59:59.0","","201417.576314452","454699.225293842","영화상영업","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20010331","",
"300","영화상영업","03_13_03_P","3940000","CDFF5211041999000002","19990715","","01","영업/정상","13","영업중","","","","","","","412827","경기도 고양시 덕양구 화정동 970번지 위성스타렉스 5층","경기도 고양시 덕양구 화정로 52  (화정동,위성스타렉스 5층)","","시네피아","20100503154243","I","2018-11-03 13:17:14.0","","185048.426384758","459123.51978397","영화상영업","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19990715","",
"301","영화상영업","03_13_03_P","3940000","CDFF5211041999000003","19990920","","01","영업/정상","13","영업중","","","","","","","412827","경기도 고양시 덕양구 화정동 961번지 부영아파트 1106동 1201호","","","중앙아트","20100503160013","I","2018-11-03 13:17:14.0","","185439.666615058","459266.47202687","영화상영업","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19990920","",
"302","영화상영업","03_13_03_P","3940000","CDFF5211042000000001","20000207","","01","영업/정상","13","영업중","","","","","","","","경기도 고양시 일산서구 대화동 2134-2번지","경기도 고양시 일산서구 대산로226번길 15-10  (대화동)","","자이안트기획","20100429114325","I","2018-11-03 13:17:14.0","","178195.439269705","464197.372574655","영화상영업","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20000207","",
"303","영화상영업","03_13_03_P","3940000","CDFF5211042001000001","20011205","","01","영업/정상","13","영업중","","","","","031-812-2696","","","경기도 고양시 일산동구 백석동 1344번지 흰돌마을 507동 1203호","경기도 고양시 일산동구 일산로 11, 507동 1203호 (백석동, 흰돌마을)","410724","제일필름","20130820201653","I","2018-11-03 13:17:14.0","","180852.770650504","459866.579972074","영화상영업","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20011205","",
"304","영화상영업","03_13_03_P","3940000","CDFF5211042002000001","20020802","","01","영업/정상","13","영업중","","","","","970-0118","","412827","경기도 고양시 덕양구 화정동 983-1번지","경기도 고양시 덕양구 화신로272번길 29  (화정동)","","(주)성은","20100503155727","I","2018-11-03 13:17:14.0","","185033.77650445","458905.087853501","영화상영업","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20020802","",
"305","영화상영업","03_13_03_P","3940000","CDFF5211042003000001","20031110","","01","영업/정상","13","영업중","","","","","","","","경기도 고양시 일산서구 주엽동 22번지 그랜드백화점(주)","","","롯데시네마주엽(일산)관","20120823113254","I","2018-11-03 13:17:14.0","","178859.791398959","463205.227173138","영화상영업","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20031110","",
"306","영화상영업","03_13_03_P","3940000","CDFF5211042004000001","20040817","","01","영업/정상","13","영업중","","","","","","","412827","경기도 고양시 덕양구 화정동 966-1번지 시네마플러스빌딩 4,5층","경기도 고양시 덕양구 화중로104번길 28  (화정동,시네마플러스빌딩 4,5층)","","(주)준키노시네마","20100503151751","I","2018-11-03 13:17:14.0","","185206.294104618","459287.006835814","영화상영업","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20040817","",
"307","영화상영업","03_13_03_P","3940000","CDFF5211042005000003","20050803","","01","영업/정상","13","영업중","","","","","","","","경기도 고양시 덕양구 화정동 965번지 한화오벨리스크 320호","경기도 고양시 덕양구 화정로 65,  320호 (화정동,한화오벨리스크)","","(주)씨네콰논코리아","20100507151350","I","2018-11-03 13:17:14.0","","185236.405052854","459193.586905624","영화상영업","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20050803","",
"308","영화상영업","03_13_03_P","3940000","CDFF5211042005000004","20050219","","01","영업/정상","13","영업중","","","","","031-932-0634","","410817","경기도 고양시 일산동구 백석동 1305번지 백석역동문굿모닝힐 103동 819호","경기도 고양시 일산동구 장백로 26, 103동 819호 (백석동, 백석역동문굿모닝힐)","410817","극단디바","20130820201615","I","2018-11-03 13:17:14.0","","181322.689143021","459886.709064214","영화상영업","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20050219","",
"309","영화상영업","03_13_03_P","3940000","CDFF5211042007000001","20070627","","01","영업/정상","13","영업중","","","","","","","","경기도 고양시 일산서구 덕이동 219-8번지 가동 지하 101호","경기도 고양시 일산서구 덕이로 20, 101호 (덕이동,가동 지하)","","메가박스 일산관","20120823125009","I","2018-11-03 13:17:14.0","","178490.412882641","465282.119224464","영화상영업","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20070627","",
"310","영화상영업","03_13_03_P","3940000","CDFF5211042007000002","20071123","","01","영업/정상","13","영업중","","","","","0319669666","","","경기도 고양시 덕양구 화정동 966-1번지","경기도 고양시 덕양구 화중로104번길 28 (화정동)","412827","프리머스 화정","20120911092748","I","2018-11-03 13:17:14.0","","185206.294104618","459287.006835814","영화상영업","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20071123","",
"311","영화상영업","03_13_03_P","3940000","CDFF5211042010000001","20100904","","01","영업/정상","13","영업중","","","","","","","411410","경기도 고양시 일산서구 대화동 2602번지 현대백화점 레이킨스몰 3층","경기도 고양시 일산서구 호수로 817  (대화동,현대백화점 레이킨스몰 3층)","","메가박스 킨텍스점","20101018145131","I","2018-11-03 13:17:14.0","","178006.080301401","462865.812502378","영화상영업","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20100904","",
"312","영화상영업","03_13_03_P","3940000","CDFF5211042012000001","20120321","","01","영업/정상","13","영업중","","","","","031-960-9753","","","경기도 고양시 덕양구 성사동 777번지 별따기배움터 1층","경기도 고양시 덕양구 어울림로 33 (성사동)","412808","(재)고양지식정보산업진흥원 고양영상미디어센터","20171124102718","I","2018-11-03 13:17:14.0","","185337.886294516","460842.496478366","영화상영업","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20120321","",
"313","영화상영업","03_13_03_P","3940000","CDFF5211042012000002","20121112","","01","영업/정상","13","영업중","","","","","","","","경기도 고양시 덕양구 화정동 973번지 요진타워 705-2호","경기도 고양시 덕양구 화신로260번길 57 (화정동)","412827","주식회사 영화사마당","20121112133314","I","2018-11-03 13:17:14.0","","185166.687145694","459037.825613683","영화상영업","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20121112","",
"314","영화상영업","03_13_03_P","3730000","CDFF5211042022000001","20220324","","01","영업/정상","13","영업중","","","","","","","","울산광역시 울주군 상북면 등억알프스리 517 산악문화센터","울산광역시 울주군 상북면 알프스온천5길 103-8, 산악문화센터","44952","사단법인 울주세계산악영화제","20220324131605","I","2022-03-26 00:22:34.0","","387433.031915572","230470.214162409","영화상영업","","0","","","0","0","0","","0","0","0","0","","","","","","","","","","","","0","","","","","20220324","",
"315","영화상영업","03_13_03_P","3520000","CDFF5211042019000001","20190115","","01","영업/정상","13","영업중","","","","","","","","인천광역시 연수구 옥련동 602-18번지","인천광역시 연수구 능허대로 222, 2층 C-6호 (옥련동)","21960","덤억","20190419184023","U","2019-04-21 02:40:00.0","","168963.102005824","434981.54543418","영화상영업","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20190115","",
"316","영화상영업","03_13_03_P","5110000","CDFF5211042019000001","20190115","","01","영업/정상","13","영업중","","","","","","","","경상북도 상주시 서문동 140-2번지","경상북도 상주시 중앙로 147 (서문동)","37185","주식회사 새한","20190115082947","I","2019-01-17 02:20:51.0","","303465.954527464","324524.687426032","영화상영업","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20190115","",
"317","영화상영업","03_13_03_P","3160000","CDFF5211042019000001","20190124","","01","영업/정상","13","영업중","","","","","","","","서울특별시 구로구 구로동 197-48 에이스테크노타워Ⅲ","서울특별시 구로구 디지털로29길 38, 에이스테크노타워Ⅲ 201호 (구로동)","08381","주식회사 언더식스티","20220506101601","U","2022-05-08 02:40:00.0","","190491.833060361","442477.332680657","영화상영업","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20190124","",
"318","영화상영업","03_13_03_P","3620000","CDFF5211042019000001","20190227","","01","영업/정상","13","영업중","","","","","","","","광주광역시 북구 중흥동 744-17번지","광주광역시 북구 서암대로288번길 5 (중흥동)","61227","영화세상","20190227172856","I","2019-03-01 02:21:54.0","","192191.427279","185142.937504","영화상영업","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20190227","",
"319","영화상영업","03_13_03_P","3560000","CDFF5211042019000001","20190227","","01","영업/정상","13","영업중","","","","","032-721-5660","","","인천광역시 서구 청라동 155-7번지 청라 스퀘어7","인천광역시 서구 청라루비로 76, 청라 스퀘어7 350,350-1호 (청라동)","22761","케이플레이즈라운지 주식회사","20190227120738","I","2019-03-01 02:21:54.0","","168257.170229336","447843.844166864","영화상영업","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20190227","",
"320","영화상영업","03_13_03_P","3330000","CDFF5211042019000001","20190315","","01","영업/정상","13","영업중","","","","","","","","부산광역시 해운대구 우동 1228번지 센텀센시빌아파트","부산광역시 해운대구 해운대로 284, 107동 2104호 (우동, 센텀센시빌아파트)","48059","장산시네마","20190315085722","I","2019-03-17 02:21:52.0","","393967.197052812","188310.416723807","영화상영업","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20190315","",
"321","영화상영업","03_13_03_P","4060000","CDFF5211042019000001","20190219","","01","영업/정상","13","영업중","","","","","","","","경기도 파주시 탄현면 법흥리 1652-26번지","경기도 파주시 탄현면 헤이리마을길 93-119, 3층","10859","헤이리 시네마","20200316091416","U","2020-03-18 02:40:00.0","","173299.291059945","476607.412840049","영화상영업","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20190219","",
"322","영화상영업","03_13_03_P","4680000","CDFF5211042019000001","20190219","","01","영업/정상","13","영업중","","","","","063-843-7707","","","전라북도 익산시 모현동1가 876번지","전라북도 익산시 선화로 77, 롯데시네마 (모현동1가)","54654","주호산업(주)","20190219125845","I","2019-02-21 02:21:27.0","","194489.753177","272181.141066","영화상영업","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20190219","",
"323","영화상영업","03_13_03_P","3250000","CDFF5211042019000001","20190107","","01","영업/정상","13","영업중","","","","","","","","부산광역시 중구 대청동4가 81-1번지","부산광역시 중구 중구로 71, 2층 (대청동4가)","48968","주식회사 인생극장","20191115193727","U","2019-11-19 02:40:00.0","","384895.9640319","180239.623081052","영화상영업","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20190107","",
"324","영화상영업","03_13_03_P","3330000","CDFF5211042019000002","20190322","","01","영업/정상","13","영업중","","","","","","","","부산광역시 해운대구 우동 1475번지 센텀벤처타운","부산광역시 해운대구 센텀동로 41, 504호 (우동, 센텀벤처타운)","48059","(주)씨네랜드","20190322121903","I","2019-03-24 02:20:03.0","","394038.562998688","188042.384551855","영화상영업","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20190322","",
"325","영화상영업","03_13_03_P","4580000","CDFF5211042019000001","20190214","","01","영업/정상","13","영업중","","","","","041-956-7936","","","충청남도 서천군 장항읍 신창리 137-1 장항미디어센터","충청남도 서천군 장항읍 장항로145번길 30, 장항미디어센터","33670","서천군미디어센터기벌포영화관 지점","20201207084110","U","2020-12-09 02:40:00.0","","172353.183831","279238.175037","영화상영업","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20190214","",
"326","영화상영업","03_13_03_P","3150000","CDFF5211042022000001","20201106","","01","영업/정상","13","영업중","","","","","","","","서울특별시 강서구 마곡동 812 LG아트센터","서울특별시 강서구 마곡중앙로 136, LG아트센터 (마곡동)","07789","엘지아트센터","20220422153352","I","2022-04-24 00:22:33.0","","","","영화상영업","","0","","","0","0","0","","0","0","0","0","","","","","","","","","","","","0","","","","","20201106","",
"327","영화상영업","03_13_03_P","3600000","CDFF5211042011000001","20110809","","01","영업/정상","13","영업중","","","","","062-374-5200","","502827","광주광역시 서구 치평동 1218-1번지","광주광역시 서구 시청로 67 (치평동)","502827","(주)상무시네마","20131226094917","I","2018-08-31 23:59:59.0","","186350.816423","183915.870053","영화상영업","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20110809","",
"328","영화상영업","03_13_03_P","3610000","CDFF5211041999000001","19991016","","01","영업/정상","13","영업중","","","","","","","","광주광역시 남구 주월동 380-128번지","광주광역시 남구 회서로51번길 30 (주월동)","503835","현대영화사","20111031103621","I","2018-08-31 23:59:59.0","","190539.669239","181429.973978","영화상영업","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19991016","",
